Time,Source,Destination,Protocol,Length
6.865109,13.248.151.210,172.30.1.7,TCP,1514
6.86511,13.248.151.210,172.30.1.7,TCP,1514
6.86511,13.248.151.210,172.30.1.7,TCP,1514
6.865111,13.248.151.210,172.30.1.7,TCP,1514
6.865112,13.248.151.210,172.30.1.7,TCP,1514
6.865112,13.248.151.210,172.30.1.7,TCP,1514
6.865113,13.248.151.210,172.30.1.7,TCP,1514
6.865113,13.248.151.210,172.30.1.7,TCP,1514
6.865114,13.248.151.210,172.30.1.7,TLSv1.2,1514
6.865115,13.248.151.210,172.30.1.7,TCP,1514
6.865115,13.248.151.210,172.30.1.7,TCP,1514
6.865116,13.248.151.210,172.30.1.7,TCP,1514
6.865117,13.248.151.210,172.30.1.7,TCP,1514
6.865263,172.30.1.7,13.248.151.210,TCP,66
6.865264,172.30.1.7,13.248.151.210,TCP,66
6.866799,13.248.151.210,172.30.1.7,TCP,1514
6.866799,13.248.151.210,172.30.1.7,TCP,1514
6.8668,13.248.151.210,172.30.1.7,TCP,1514
6.8668,13.248.151.210,172.30.1.7,TCP,1514
6.866801,13.248.151.210,172.30.1.7,TLSv1.2,378
6.866876,172.30.1.7,13.248.151.210,TCP,66
6.866877,172.30.1.7,13.248.151.210,TCP,66
7.013824,13.248.151.210,172.30.1.7,TLSv1.2,106
7.013905,172.30.1.7,13.248.151.210,TCP,66
8.557642,172.30.1.7,13.248.151.210,TLSv1.2,108
8.560947,172.30.1.7,13.248.151.210,TCP,78
8.591705,172.30.1.7,13.248.151.210,TLSv1.2,112
8.591835,172.30.1.7,13.248.151.210,TLSv1.2,97
8.591955,172.30.1.7,13.248.151.210,TCP,66
8.644668,13.248.151.210,172.30.1.7,TCP,74
8.645146,172.30.1.7,13.248.151.210,TCP,66
8.645157,172.30.1.7,13.248.151.210,TCP,1514
8.645159,172.30.1.7,13.248.151.210,TLSv1.2,170
8.772347,13.248.151.210,172.30.1.7,TCP,66
8.77235,13.248.151.210,172.30.1.7,TCP,66
8.772352,13.248.151.210,172.30.1.7,TCP,66
8.772354,13.248.151.210,172.30.1.7,TCP,66
8.772356,13.248.151.210,172.30.1.7,TLSv1.2,1514
8.772358,13.248.151.210,172.30.1.7,TCP,1514
8.772361,13.248.151.210,172.30.1.7,TLSv1.2,1514
8.772363,13.248.151.210,172.30.1.7,TLSv1.2,159
8.773366,172.30.1.7,13.248.151.210,TCP,66
8.773372,172.30.1.7,13.248.151.210,TCP,66
8.773373,172.30.1.7,13.248.151.210,TCP,66
8.778676,172.30.1.7,13.248.151.210,TLSv1.2,192
8.857975,13.248.151.210,172.30.1.7,TCP,66
8.857977,13.248.151.210,172.30.1.7,TLSv1.2,117
8.857979,13.248.151.210,172.30.1.7,TLSv1.2,135
8.859191,172.30.1.7,13.248.151.210,TCP,66
8.860184,172.30.1.7,13.248.151.210,TLSv1.2,992
8.860319,172.30.1.7,13.248.151.210,TLSv1.2,104
8.898096,172.30.1.7,142.250.157.188,TCP,54
8.961897,13.248.151.210,172.30.1.7,TLSv1.2,104
8.962142,172.30.1.7,13.248.151.210,TCP,66
8.965575,13.248.151.210,172.30.1.7,TCP,1514
8.965578,13.248.151.210,172.30.1.7,TCP,1514
8.96558,13.248.151.210,172.30.1.7,TLSv1.2,587
8.965582,13.248.151.210,172.30.1.7,TCP,1514
8.965584,13.248.151.210,172.30.1.7,TCP,1514
8.965586,13.248.151.210,172.30.1.7,TCP,1514
8.965588,13.248.151.210,172.30.1.7,TCP,1514
8.96559,13.248.151.210,172.30.1.7,TCP,1514
8.965592,13.248.151.210,172.30.1.7,TCP,1514
8.966062,172.30.1.7,13.248.151.210,TCP,66
8.966067,172.30.1.7,13.248.151.210,TCP,66
9.038105,142.250.157.188,172.30.1.7,TCP,66
9.041779,13.248.151.210,172.30.1.7,TCP,1514
9.041782,13.248.151.210,172.30.1.7,TCP,1514
9.042149,172.30.1.7,13.248.151.210,TCP,66
9.049675,13.248.151.210,172.30.1.7,TCP,1514
9.049678,13.248.151.210,172.30.1.7,TCP,1514
9.04968,13.248.151.210,172.30.1.7,TCP,1514
9.049682,13.248.151.210,172.30.1.7,TLSv1.2,1514
9.049684,13.248.151.210,172.30.1.7,TCP,1514
9.049686,13.248.151.210,172.30.1.7,TCP,1514
9.049689,13.248.151.210,172.30.1.7,TCP,1514
9.049691,13.248.151.210,172.30.1.7,TCP,1514
9.049693,13.248.151.210,172.30.1.7,TCP,1514
9.049695,13.248.151.210,172.30.1.7,TCP,1514
9.049697,13.248.151.210,172.30.1.7,TCP,1514
9.049699,13.248.151.210,172.30.1.7,TCP,1514
9.049701,13.248.151.210,172.30.1.7,TCP,1514
9.049703,13.248.151.210,172.30.1.7,TCP,1514
9.049705,13.248.151.210,172.30.1.7,TLSv1.2,1514
9.049708,13.248.151.210,172.30.1.7,TCP,1514
9.04971,13.248.151.210,172.30.1.7,TCP,1514
9.049712,13.248.151.210,172.30.1.7,TCP,1514
9.050285,172.30.1.7,13.248.151.210,TCP,66
9.050291,172.30.1.7,13.248.151.210,TCP,66
9.122423,13.248.151.210,172.30.1.7,TCP,1514
9.122427,13.248.151.210,172.30.1.7,TCP,1514
9.12243,13.248.151.210,172.30.1.7,TCP,1514
9.122432,13.248.151.210,172.30.1.7,TCP,1514
9.122681,172.30.1.7,13.248.151.210,TCP,66
9.122686,172.30.1.7,13.248.151.210,TCP,66
9.132201,13.248.151.210,172.30.1.7,TCP,1514
9.132204,13.248.151.210,172.30.1.7,TLSv1.2,1514
9.132206,13.248.151.210,172.30.1.7,TCP,1514
9.132208,13.248.151.210,172.30.1.7,TCP,1514
9.132211,13.248.151.210,172.30.1.7,TCP,1514
9.132213,13.248.151.210,172.30.1.7,TCP,1514
9.132216,13.248.151.210,172.30.1.7,TCP,1514
9.132218,13.248.151.210,172.30.1.7,TCP,1514
9.13222,13.248.151.210,172.30.1.7,TCP,1514
9.132223,13.248.151.210,172.30.1.7,TCP,1514
9.132225,13.248.151.210,172.30.1.7,TCP,1514
9.132227,13.248.151.210,172.30.1.7,TCP,1514
9.132229,13.248.151.210,172.30.1.7,TLSv1.2,1514
9.132232,13.248.151.210,172.30.1.7,TCP,1514
9.132234,13.248.151.210,172.30.1.7,TCP,1514
9.132236,13.248.151.210,172.30.1.7,TCP,1514
9.132238,13.248.151.210,172.30.1.7,TCP,1514
9.132242,13.248.151.210,172.30.1.7,TCP,1514
9.132243,13.248.151.210,172.30.1.7,TCP,1514
9.132246,13.248.151.210,172.30.1.7,TCP,1514
9.132248,13.248.151.210,172.30.1.7,TCP,1514
9.13225,13.248.151.210,172.30.1.7,TCP,1514
9.132253,13.248.151.210,172.30.1.7,TCP,1514
9.132255,13.248.151.210,172.30.1.7,TCP,1514
9.132257,13.248.151.210,172.30.1.7,TLSv1.2,1514
9.13226,13.248.151.210,172.30.1.7,TCP,1514
9.132261,13.248.151.210,172.30.1.7,TCP,1514
9.132264,13.248.151.210,172.30.1.7,TCP,1514
9.132265,13.248.151.210,172.30.1.7,TCP,1514
9.132268,13.248.151.210,172.30.1.7,TCP,1514
9.13227,13.248.151.210,172.30.1.7,TCP,1514
9.132272,13.248.151.210,172.30.1.7,TCP,1514
9.132839,172.30.1.7,13.248.151.210,TCP,66
9.132843,172.30.1.7,13.248.151.210,TCP,66
9.133261,13.248.151.210,172.30.1.7,TCP,1514
9.133263,13.248.151.210,172.30.1.7,TCP,1514
9.133266,13.248.151.210,172.30.1.7,TCP,1514
9.133268,13.248.151.210,172.30.1.7,TLSv1.2,1514
9.133456,172.30.1.7,13.248.151.210,TCP,66
9.13346,172.30.1.7,13.248.151.210,TCP,66
9.201318,13.248.151.210,172.30.1.7,TLSv1.2,916
9.201568,172.30.1.7,13.248.151.210,TCP,66
9.485854,13.248.151.210,172.30.1.7,TLSv1.2,106
9.486264,172.30.1.7,13.248.151.210,TCP,66
11.087002,172.30.1.7,13.248.151.210,TLSv1.2,108
11.090005,172.30.1.7,13.248.151.210,TCP,78
11.118574,172.30.1.7,13.248.151.210,TLSv1.2,112
11.118698,172.30.1.7,13.248.151.210,TLSv1.2,97
11.118819,172.30.1.7,13.248.151.210,TCP,66
11.183298,13.248.151.210,172.30.1.7,TCP,74
11.183713,172.30.1.7,13.248.151.210,TCP,66
11.183724,172.30.1.7,13.248.151.210,TCP,1514
11.183726,172.30.1.7,13.248.151.210,TLSv1.2,170
11.199577,13.248.151.210,172.30.1.7,TCP,66
11.199579,13.248.151.210,172.30.1.7,TCP,66
11.199713,172.30.1.7,13.248.151.210,TCP,66
11.293875,13.248.151.210,172.30.1.7,TCP,66
11.298046,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.298048,13.248.151.210,172.30.1.7,TCP,1514
11.298049,13.248.151.210,172.30.1.7,TLSv1.2,1514
11.298051,13.248.151.210,172.30.1.7,TLSv1.2,159
11.29841,172.30.1.7,13.248.151.210,TCP,66
11.298412,172.30.1.7,13.248.151.210,TCP,66
11.301392,172.30.1.7,13.248.151.210,TLSv1.2,192
11.480237,13.248.151.210,172.30.1.7,TCP,66
11.480237,13.248.151.210,172.30.1.7,TLSv1.2,117
11.480238,13.248.151.210,172.30.1.7,TLSv1.2,135
11.480657,172.30.1.7,13.248.151.210,TCP,66
11.480921,172.30.1.7,13.248.151.210,TLSv1.2,990
11.480957,172.30.1.7,13.248.151.210,TLSv1.2,104
11.58403,13.248.151.210,172.30.1.7,TCP,66
11.584031,13.248.151.210,172.30.1.7,TLSv1.2,104
11.584081,172.30.1.7,13.248.151.210,TCP,66
11.600304,13.248.151.210,172.30.1.7,TCP,1514
11.600306,13.248.151.210,172.30.1.7,TCP,1514
11.600307,13.248.151.210,172.30.1.7,TLSv1.2,1146
11.600308,13.248.151.210,172.30.1.7,TCP,1514
11.60031,13.248.151.210,172.30.1.7,TCP,1514
11.600312,13.248.151.210,172.30.1.7,TCP,1514
11.600313,13.248.151.210,172.30.1.7,TCP,1514
